id,av,number,category
1,9671516,1892,comment
2,9671361,1427,comment
3,9664613,1669,comment
4,9673406,619,comment
5,9748372,1713,comment
6,9748079,1086,comment
7,9652960,11148,comment
8,9702648,3889,comment
9,9746856,576,comment
10,9796052,2177,comment
11,9800429,1780,comment
12,9785621,1893,comment
13,8953409,5676,comment
14,9449918,4112,comment
15,9089413,4659,comment
16,9104278,25896,comment
17,9374889,5210,comment
18,9231565,4017,comment
1,9671516,7574,danmu
2,9671361,4256,danmu
3,9664613,3488,danmu
4,9673406,2007,danmu
5,9748372,2056,danmu
6,9748079,2795,danmu
7,9652960,23000,danmu
8,9702648,8073,danmu
9,9746856,5051,danmu
10,9796052,7160,danmu
11,9800429,8387,danmu
12,9785621,5577,danmu
13,8953409,42000,danmu
14,9449918,39000,danmu
15,9089413,35000,danmu
16,9104278,32000,danmu
17,9374889,23000,danmu
18,9231565,20000,danmu
